"","P1PRIMPK","CHILDID","CREGION","GENDER","RACE","C1R4MSCL","WKBLACK","WKHISP","P1HFAMIL","C1CMOTOR","R1_KAGE","P1HIG_1","W1INCCAT","WKINCOME","A2TXSPEN","C1R4MPF","C1R4RPF","S2HVISIT","S2ORIENT","C7R4RPF","C7R4MPF","C6ATTLVL","P1NUMSIB"
"1",6,"0001001C",1,2,1,39.54,2,2,1,15,69.07,18,12,140000,4,3,1,1,1,NA,NA,NA,1
"2",6,"0001002C",1,2,1,44.44,2,2,1,14,77.2,1,12,120000,4,3,3,1,1,10,9,5,2
"3",6,"0001003C",1,2,1,28.57,2,2,1,12,64.1,22,12,90000,4,2,-9,1,1,NA,NA,NA,2
"4",7,"0001004C",1,1,1,26.62,2,2,1,8,65.93,18,11,60000,4,1,1,1,1,NA,NA,NA,1
"5",6,"0001005C",1,2,1,40.88,2,2,1,14,74.53,18,12,150000,4,3,1,1,1,NA,NA,NA,1
"6",6,"0001006C",1,1,1,23.57,2,2,1,12,63,20,9,50000,4,2,1,1,1,NA,NA,NA,1
"7",6,"0001007C",1,1,1,19.65,2,2,1,8,63.6,18,10,55000,4,1,1,1,1,7,6,4,1
"8",6,"0001008C",1,2,8,36.27,2,2,1,16,72.57,20,13,218000,4,3,2,1,1,10,9,NA,1
"9",6,"0001009C",1,1,1,20.82,2,2,2,11,67.73,16,6,42000,4,1,1,1,1,NA,NA,NA,0
"10",6,"0001010C",1,2,1,26.85,2,2,1,13,70.63,19,11,70000,4,2,1,1,1,9,7,4,1
"11",6,"0001011C",1,2,1,47.36,2,2,1,11,72.47,19,11,1e+05,4,3,4,1,1,NA,NA,NA,1
"12",6,"0001012C",1,1,1,62.32,2,2,1,14,68.53,20,13,140000,4,3,4,1,1,NA,NA,NA,1
"13",6,"0001013C",1,1,1,22.27,2,2,1,13,62.63,17,12,78000,4,1,1,1,1,NA,NA,NA,1
"14",6,"0001014C",1,1,1,32.57,2,2,1,10,64.1,22,12,90000,4,3,1,1,1,NA,NA,NA,2
"15",-9,"0002002C",1,1,1,15.97,2,2,3,3,76.73,-9,NA,2000,3,1,0,5,1,NA,NA,NA,2
"16",6,"0002003C",1,1,1,40.94,2,2,1,12,74.3,13,2,0,3,3,3,5,1,8,8,3,2
"17",6,"0002004C",1,2,1,33.26,2,2,1,11,65.4,18,11,50000,2,3,3,5,1,10,9,3,1
"18",0,"0002005C",1,2,3,20.32,2,1,1,7,74.7,7,4,19000,3,1,0,5,1,NA,NA,NA,4
"19",5,"0002006C",1,2,1,20.23,2,2,3,7,61.9,13,5,9000,3,1,0,5,1,8,7,5,1
"20",5,"0002007C",1,2,1,23.7,2,2,3,16,72.57,10,NA,14000,2,2,1,5,1,NA,NA,NA,1
"21",6,"0002008C",1,2,1,18.64,2,2,1,10,70.87,14,6,50000,2,1,0,5,1,8,7,4,1
"22",5,"0002009C",1,1,1,22.53,2,2,1,12,74.43,11,NA,25000,NA,2,1,5,1,NA,NA,NA,1
"23",6,"0002010C",1,1,1,20.27,2,2,2,6,75.27,15,5,18000,2,1,1,5,1,NA,NA,NA,0
"24",1,"0002011C",1,1,1,25.83,2,2,1,8,63,13,8,41000,2,2,0,5,1,NA,NA,4,1
"25",7,"0002012C",1,2,8,22.93,2,2,3,7,62.93,17,2,6000,2,2,1,5,1,NA,NA,NA,1
"26",1,"0002013C",1,1,1,21.4,2,2,3,4,79,13,NA,10000,2,1,1,5,1,NA,NA,NA,1
"27",7,"0002014C",1,1,1,13.92,2,2,1,6,73.4,13,8,35000,3,0,0,5,1,NA,NA,NA,2
"28",5,"0002015C",1,2,1,34.63,2,2,1,16,72.83,13,NA,30000,2,3,3,5,1,NA,NA,NA,1
"29",0,"0002016C",1,1,1,33.24,2,2,3,9,79,13,NA,7000,3,3,1,5,1,NA,NA,NA,1
"30",7,"0002017C",1,2,1,29.9,2,2,1,9,63.97,13,NA,30000,2,2,2,5,1,NA,NA,NA,1
"31",7,"0002018C",1,2,1,25.87,2,2,1,8,68.17,16,9,55000,3,2,2,5,1,10,6,5,2
"32",5,"0002019C",1,1,1,27.04,2,2,1,16,78.07,16,5,24000,2,1,1,5,1,9,8,4,3
"33",5,"0002020C",1,1,1,30.43,2,2,1,12,76.5,13,NA,15000,2,2,1,5,1,NA,NA,NA,4
"34",6,"0002021C",1,2,1,25.25,2,2,1,16,71.2,13,1,9600,2,1,0,5,1,NA,NA,NA,6
"35",0,"0002022C",1,2,1,44.52,2,2,2,12,78.37,13,6,21000,2,3,5,5,1,9,9,4,0
